You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Initializing t5-11b on cuda...
🚀 Enabling LoRA Fine-tuning...
trainable params: 20,054,016 || all params: 11,327,375,360 || trainable%: 0.1770
Loading data from data/raw/train_100k.jsonl...
Loaded 100000 samples.
Loading data from data/raw/valid.jsonl...
Loaded 500 samples.

Start Training: 100k | Effective Batch Size: 2 | AMP: bf16
/usr/local/lib/python3.10/dist-packages/apex/_autocast_utils.py:26: FutureWarning: `torch.cuda.amp.autocast_mode._cast(value, dtype)` is deprecated. Please use `torch.amp.autocast_mode._cast(value, 'cuda', dtype)` instead.
  return torch.cuda.amp.autocast_mode._cast(args, torch.get_autocast_gpu_dtype())
/usr/local/lib/python3.10/dist-packages/apex/normalization/fused_layer_norm.py:214: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=False):
Epoch 0 | Batch 4500/50000 | Loss: 3.8494
Epoch 0 | Batch 4550/50000 | Loss: 2.6946
Epoch 0 | Batch 4600/50000 | Loss: 2.3056
Epoch 0 | Batch 4650/50000 | Loss: 3.1794
Epoch 0 | Batch 4700/50000 | Loss: 3.5288
Epoch 0 | Batch 4750/50000 | Loss: 2.6868
Epoch 0 | Batch 4800/50000 | Loss: 2.5127
Epoch 0 | Batch 4850/50000 | Loss: 3.1570
Epoch 0 | Batch 4900/50000 | Loss: 2.9090
Epoch 0 | Batch 4950/50000 | Loss: 2.7565
Epoch 0 | Batch 5000/50000 | Loss: 2.8018
Epoch 0 | Batch 5050/50000 | Loss: 2.6950
Epoch 0 | Batch 5100/50000 | Loss: 2.4742
Epoch 0 | Batch 5150/50000 | Loss: 2.9621
Epoch 0 | Batch 5200/50000 | Loss: 3.1303
Epoch 0 | Batch 5250/50000 | Loss: 2.0241
Epoch 0 | Batch 5300/50000 | Loss: 2.6492
Epoch 0 | Batch 5350/50000 | Loss: 2.7059
Epoch 0 | Batch 5400/50000 | Loss: 3.5737
Epoch 0 | Batch 5450/50000 | Loss: 2.7971
Epoch 0 | Batch 5500/50000 | Loss: 2.8480
Epoch 0 | Batch 5550/50000 | Loss: 2.8459
Epoch 0 | Batch 5600/50000 | Loss: 3.2096
Epoch 0 | Batch 5650/50000 | Loss: 3.0417
Epoch 0 | Batch 5700/50000 | Loss: 2.7362
Epoch 0 | Batch 5750/50000 | Loss: 2.3708
Epoch 0 | Batch 5800/50000 | Loss: 3.0528
Epoch 0 | Batch 5850/50000 | Loss: 2.3929
Epoch 0 | Batch 5900/50000 | Loss: 3.4807
Epoch 0 | Batch 5950/50000 | Loss: 2.6445
Epoch 0 | Batch 6000/50000 | Loss: 2.3215
Epoch 0 | Batch 6050/50000 | Loss: 3.4942
Epoch 0 | Batch 6100/50000 | Loss: 3.3410
Epoch 0 | Batch 6150/50000 | Loss: 2.2989
Epoch 0 | Batch 6200/50000 | Loss: 2.3275
Epoch 0 | Batch 6250/50000 | Loss: 2.6001
Epoch 0 | Batch 6300/50000 | Loss: 2.6855
Epoch 0 | Batch 6350/50000 | Loss: 3.4843
Epoch 0 | Batch 6400/50000 | Loss: 2.8029
Epoch 0 | Batch 6450/50000 | Loss: 2.7134
Epoch 0 | Batch 6500/50000 | Loss: 3.2085
Epoch 0 | Batch 6550/50000 | Loss: 2.6312
Epoch 0 | Batch 6600/50000 | Loss: 2.9202
Epoch 0 | Batch 6650/50000 | Loss: 2.5067
Epoch 0 | Batch 6700/50000 | Loss: 3.3847
Epoch 0 | Batch 6750/50000 | Loss: 2.0283
Epoch 0 | Batch 6800/50000 | Loss: 2.8242
Epoch 0 | Batch 6850/50000 | Loss: 2.1874
Epoch 0 | Batch 6900/50000 | Loss: 2.8318
Epoch 0 | Batch 6950/50000 | Loss: 2.9110
Epoch 0 | Batch 7000/50000 | Loss: 2.2668
Epoch 0 | Batch 7050/50000 | Loss: 2.3802
Epoch 0 | Batch 7100/50000 | Loss: 2.7195
Epoch 0 | Batch 7150/50000 | Loss: 2.7786
Epoch 0 | Batch 7200/50000 | Loss: 3.6459
Epoch 0 | Batch 7250/50000 | Loss: 2.5814
Epoch 0 | Batch 7300/50000 | Loss: 2.6571
Epoch 0 | Batch 7350/50000 | Loss: 2.6951
Epoch 0 | Batch 7400/50000 | Loss: 3.1043
Epoch 0 | Batch 7450/50000 | Loss: 2.7597
Epoch 0 | Batch 7500/50000 | Loss: 2.5425
Epoch 0 | Batch 7550/50000 | Loss: 3.0096
Epoch 0 | Batch 7600/50000 | Loss: 2.6161
Epoch 0 | Batch 7650/50000 | Loss: 2.9940
Epoch 0 | Batch 7700/50000 | Loss: 2.4175
Epoch 0 | Batch 7750/50000 | Loss: 2.8344
Epoch 0 | Batch 7800/50000 | Loss: 2.3234
Epoch 0 | Batch 7850/50000 | Loss: 2.3226
Epoch 0 | Batch 7900/50000 | Loss: 2.7956
Epoch 0 | Batch 7950/50000 | Loss: 2.8529
Epoch 0 | Batch 8000/50000 | Loss: 2.6373
Epoch 0 | Batch 8050/50000 | Loss: 2.5034
Epoch 0 | Batch 8100/50000 | Loss: 2.5243
Epoch 0 | Batch 8150/50000 | Loss: 2.7406
Epoch 0 | Batch 8200/50000 | Loss: 3.1981
Epoch 0 | Batch 8250/50000 | Loss: 2.8423
Epoch 0 | Batch 8300/50000 | Loss: 2.8848
Epoch 0 | Batch 8350/50000 | Loss: 2.3280
Epoch 0 | Batch 8400/50000 | Loss: 2.9673
Epoch 0 | Batch 8450/50000 | Loss: 2.7889
Epoch 0 | Batch 8500/50000 | Loss: 2.1809
Epoch 0 | Batch 8550/50000 | Loss: 2.9832
Epoch 0 | Batch 8600/50000 | Loss: 3.1050
Epoch 0 | Batch 8650/50000 | Loss: 2.5985
Epoch 0 | Batch 8700/50000 | Loss: 3.0022
Epoch 0 | Batch 8750/50000 | Loss: 2.7118
Epoch 0 | Batch 8800/50000 | Loss: 2.2351
Epoch 0 | Batch 8850/50000 | Loss: 2.3675
Epoch 0 | Batch 8900/50000 | Loss: 2.8496
Epoch 0 | Batch 8950/50000 | Loss: 2.7209
Epoch 0 | Batch 9000/50000 | Loss: 2.1536
Epoch 0 | Batch 9050/50000 | Loss: 3.1109
Epoch 0 | Batch 9100/50000 | Loss: 1.8649
Epoch 0 | Batch 9150/50000 | Loss: 2.6936
Epoch 0 | Batch 9200/50000 | Loss: 2.0876
Epoch 0 | Batch 9250/50000 | Loss: 2.1924
Epoch 0 | Batch 9300/50000 | Loss: 3.3496
Epoch 0 | Batch 9350/50000 | Loss: 1.8991
Epoch 0 | Batch 9400/50000 | Loss: 3.9288
Epoch 0 | Batch 9450/50000 | Loss: 3.0256
Epoch 0 | Batch 9500/50000 | Loss: 3.9608
Epoch 0 | Batch 9550/50000 | Loss: 2.4153
Epoch 0 | Batch 9600/50000 | Loss: 2.5650
Epoch 0 | Batch 9650/50000 | Loss: 2.3184
Epoch 0 | Batch 9700/50000 | Loss: 3.0325
Epoch 0 | Batch 9750/50000 | Loss: 3.4171
Epoch 0 | Batch 9800/50000 | Loss: 2.8163
Epoch 0 | Batch 9850/50000 | Loss: 2.5884
Epoch 0 | Batch 9900/50000 | Loss: 2.7977
Epoch 0 | Batch 9950/50000 | Loss: 2.5530
Epoch 0 | Batch 10000/50000 | Loss: 3.3954
Epoch 0 | Batch 10050/50000 | Loss: 2.2490
Epoch 0 | Batch 10100/50000 | Loss: 2.6984
Epoch 0 | Batch 10150/50000 | Loss: 3.0384
Epoch 0 | Batch 10200/50000 | Loss: 2.4679
Epoch 0 | Batch 10250/50000 | Loss: 3.2728
Epoch 0 | Batch 10300/50000 | Loss: 3.7226
Epoch 0 | Batch 10350/50000 | Loss: 3.3351
Epoch 0 | Batch 10400/50000 | Loss: 3.0578
Epoch 0 | Batch 10450/50000 | Loss: 2.5447
Epoch 0 | Batch 10500/50000 | Loss: 2.9671
Epoch 0 | Batch 10550/50000 | Loss: 2.9540
